event_id,contract_address,event_type,block_timestamp,seconds_since_last_event
evt_00007,0xAlpha,Minty,2025-07-01 12:01:45,105.0
evt_00023,0xAlpha,Yank,2025-07-01 12:05:45,240.0
evt_00027,0xAlpha,Flux,2025-07-01 12:06:45,60.0
evt_00063,0xAlpha,Flux,2025-07-01 12:15:45,540.0
evt_00068,0xAlpha,Withdr-O,2025-07-01 12:17:00,75.0
evt_00076,0xAlpha,Flux,2025-07-01 12:19:00,120.0
evt_00097,0xAlpha,Withdr-O,2025-07-01 12:24:15,315.0
evt_00124,0xAlpha,Depos-X,2025-07-01 12:31:00,405.0
evt_00174,0xAlpha,Minty,2025-07-01 12:43:30,750.0
evt_00267,0xAlpha,Minty,2025-07-01 13:06:45,1395.0
evt_00269,0xAlpha,Withdr-O,2025-07-01 13:07:15,30.0
evt_00270,0xAlpha,Zync,2025-07-01 13:07:30,15.0
evt_00274,0xAlpha,Withdr-O,2025-07-01 13:08:30,60.0
evt_00282,0xAlpha,Yank,2025-07-01 13:10:30,120.0
evt_00283,0xAlpha,Flux,2025-07-01 13:10:45,15.0
evt_00307,0xAlpha,Glint,2025-07-01 13:16:45,360.0
evt_00308,0xAlpha,Zync,2025-07-01 13:17:00,15.0
evt_00313,0xAlpha,Glint,2025-07-01 13:18:15,75.0
evt_00326,0xAlpha,Depos-X,2025-07-01 13:21:30,195.0
evt_00341,0xAlpha,Depos-X,2025-07-01 13:25:15,225.0
evt_00366,0xAlpha,Flux,2025-07-01 13:31:30,375.0
evt_00368,0xAlpha,Yank,2025-07-01 13:32:00,30.0
evt_00382,0xAlpha,Withdr-O,2025-07-01 13:35:30,210.0
evt_00388,0xAlpha,Withdr-O,2025-07-01 13:37:00,90.0
evt_00398,0xAlpha,Withdr-O,2025-07-01 13:39:30,150.0
evt_00400,0xAlpha,Withdr-O,2025-07-01 13:40:00,30.0
evt_00402,0xAlpha,Withdr-O,2025-07-01 13:40:30,30.0
evt_00427,0xAlpha,Minty,2025-07-01 13:46:45,375.0
evt_00430,0xAlpha,Flux,2025-07-01 13:47:30,45.0
evt_00435,0xAlpha,Minty,2025-07-01 13:48:45,75.0
evt_00458,0xAlpha,Glint,2025-07-01 13:54:30,345.0
evt_00466,0xAlpha,Flux,2025-07-01 13:56:30,120.0
evt_00471,0xAlpha,Withdr-O,2025-07-01 13:57:45,75.0
evt_00477,0xAlpha,Flux,2025-07-01 13:59:15,90.0
evt_00483,0xAlpha,Minty,2025-07-01 14:00:45,90.0
evt_00491,0xAlpha,Depos-X,2025-07-01 14:02:45,120.0
evt_00528,0xAlpha,Zync,2025-07-01 14:12:00,555.0
evt_00537,0xAlpha,Minty,2025-07-01 14:14:15,135.0
evt_00561,0xAlpha,Withdr-O,2025-07-01 14:20:15,360.0
evt_00579,0xAlpha,Glint,2025-07-01 14:24:45,270.0
evt_00616,0xAlpha,Depos-X,2025-07-01 14:34:00,555.0
evt_00632,0xAlpha,Depos-X,2025-07-01 14:38:00,240.0
evt_00646,0xAlpha,Flux,2025-07-01 14:41:30,210.0
evt_00663,0xAlpha,Glint,2025-07-01 14:45:45,255.0
evt_00683,0xAlpha,Glint,2025-07-01 14:50:45,300.0
evt_00731,0xAlpha,Zync,2025-07-01 15:02:45,720.0
evt_00752,0xAlpha,Yank,2025-07-01 15:08:00,315.0
evt_00762,0xAlpha,Yank,2025-07-01 15:10:30,150.0
evt_00787,0xAlpha,Flux,2025-07-01 15:16:45,375.0
evt_00797,0xAlpha,Withdr-O,2025-07-01 15:19:15,150.0
evt_00802,0xAlpha,Withdr-O,2025-07-01 15:20:30,75.0
